Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",145.905220,-113.484660,270.000000,top
"C2","22p","C_0805_2012Metric",151.175720,-113.484660,270.000000,top
"C3","22u","C_0805_2012Metric",139.428220,-107.754660,90.000000,top
"C4","100n","C_0805_2012Metric",165.221920,-94.894400,90.000000,top
"C5","100n","C_0805_2012Metric",169.989500,-88.963500,270.000000,top
"C6","100n","C_0805_2012Metric",169.387520,-104.935260,270.000000,top
"C7","100n","C_0805_2012Metric",148.572220,-60.208160,270.000000,top
"C8","100n","C_0805_2012Metric",180.289200,-105.943400,270.000000,top
"C9","100n","C_0805_2012Metric",184.531000,-90.424000,180.000000,top
"C10","DNP","C_0805_2012Metric",135.331200,-60.807600,0.000000,top
"C11","DNP","C_0805_2012Metric",141.427200,-60.782200,180.000000,top
"C12","100n","C_0805_2012Metric",161.462720,-116.659660,90.000000,top
"C13","22u","C_0805_2012Metric",166.733220,-116.659660,90.000000,top
"C14","2,2u","C_0805_2012Metric",176.911000,-65.608200,90.000000,top
"C16","47u","C_0805_2012Metric",153.334720,-107.975160,270.000000,top
"C17","100n","C_0805_2012Metric",184.398920,-110.703360,0.000000,top
"C20","100n","C_0805_2012Metric",134.729220,-107.721160,90.000000,top
"C21","100n","C_0805_2012Metric",164.129720,-61.780660,90.000000,top
"C22","1n","C_0805_2012Metric",137.078720,-107.721160,90.000000,top
"C23","100n","C_0805_2012Metric",156.001720,-108.023660,270.000000,top
"C24","1n","C_0805_2012Metric",158.287720,-107.945160,270.000000,top
"C25","100n","C_0805_2012Metric",185.770520,-77.685660,90.000000,top
"C26","1n","C_0805_2012Metric",184.375820,-112.811560,0.000000,top
"C27","1n","C_0805_2012Metric",185.059320,-80.426560,180.000000,top
"C28","22p","C_0805_2012Metric",183.789320,-77.685660,90.000000,top
"C29","1n","C_0805_2012Metric",164.193220,-116.659660,90.000000,top
"C30","47u","C_0805_2012Metric",179.750720,-118.359160,270.000000,top
"C31","33p","C_0805_2012Metric",162.197020,-70.647560,180.000000,top
"C32","33p","C_0805_2012Metric",162.227020,-68.463160,180.000000,top
"C33","33p","C_0805_2012Metric",162.171620,-72.730360,180.000000,top
"C34","47u","C_0805_2012Metric",181.884320,-118.374160,270.000000,top
"D1","PTVS3V3S1UR,115","D_SOD-123",187.954920,-76.998560,90.000000,top
"D2","LED GREEN","SMD_0805_bottom",190.402720,-55.026560,0.000000,top
"D3","D_Schottky_ss14","D_SOD-123",153.360120,-121.523760,0.000000,top
"D8","LED RED","SMD_0805_bottom",157.516320,-125.206760,180.000000,top
"D9","LED YELLOW","SMD_0805_bottom",161.554920,-125.206760,180.000000,top
"D10","GREEN","SMD_0805_bottom",165.542720,-125.232160,180.000000,top
"D11","SM2T3V3A","D_SOD-123",155.747720,-113.484660,270.000000,top
"J16","Conn_01x06_Female","pico_clasp_6_horizontal",191.739520,-89.621360,90.000000,top
"L1","DNP","SMD_0805",180.365400,-60.782200,90.000000,top
"L2","DNP","SMD_0805",185.851800,-60.807600,270.000000,top
"L3","39uH","L_Taiyo-Yuden_NR-50xx",147.937220,-122.628660,180.000000,top
"L4","FBMH1608HL601-T","R_0603",183.332120,-115.224560,270.000000,top
"L5","41uH","L_Taiyo-Yuden_NR-50xx",135.808720,-112.300160,90.000000,top
"L6","FBMH1608HL601-T","R_0603",154.160220,-105.166160,180.000000,top
"L7","FBMH1608HL601-T","R_0603",187.929520,-80.832960,270.000000,top
"L8","FBMH1608HL601-T","R_0603",159.176720,-105.102660,180.000000,top
"R1","1k","R_0805_2012Metric",176.778920,-69.936360,90.000000,top
"R2","22R","R_0805_2012Metric",157.218620,-68.463160,180.000000,top
"R3","4k7","R_0805_2012Metric",183.636920,-100.952060,90.000000,top
"R4","4k7","R_0805_2012Metric",183.662320,-97.342960,270.000000,top
"R5","22R","R_0805_2012Metric",157.223220,-72.755760,180.000000,top
"R6","22R","R_0805_2012Metric",157.223220,-70.647560,180.000000,top
"R8","1k","R_0805_2012Metric",157.197820,-87.335360,180.000000,top
"R9","1k","R_0805_2012Metric",157.197820,-89.418160,180.000000,top
"R10","10k","R_0805_2012Metric",157.223220,-91.450160,180.000000,top
"R11","0R","R_0805_2012Metric",138.430000,-60.629800,270.000000,top
"R12","100k","R_0805_2012Metric",174.988220,-116.405660,90.000000,top
"R13","100k","R_0805_2012Metric",158.109920,-116.543060,270.000000,top
"R16","3k3","R_0805_2012Metric",177.147220,-116.421660,90.000000,top
"R20","100k","R_0805_2012Metric",147.556220,-107.960160,270.000000,top
"R21","1k1","R_0805_2012Metric",177.147220,-112.421160,90.000000,top
"R22","1k6","R_0805_2012Metric",149.969220,-107.960160,90.000000,top
"R23","1k","R_0805_2012Metric",151.239220,-104.213660,90.000000,top
"R27","1k","R_0805_2012Metric",173.710600,-105.943400,270.000000,top
"R28","1k","R_0805_2012Metric",175.768000,-105.918000,270.000000,top
"R29","1k","R_0805_2012Metric",177.800000,-105.918000,270.000000,top
"R30","0R","R_0805_2012Metric",183.179720,-60.792360,270.000000,top
"U1","NCP59152","DFN-8-1EP_4x4mm_P0.8mm_EP2.39x2.21mm",170.670220,-117.040660,0.000000,top
"U2","stm32f072","TQFP-64_10x10mm_Pitch0.5mm",175.133000,-96.202500,0.000000,top
"U6","NCP59152","DFN-8-1EP_4x4mm_P0.8mm_EP2.39x2.21mm",143.619220,-108.658660,0.000000,top
"U8","ATECC508A","DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm",186.811920,-99.806760,180.000000,top
