Id,Designator,Package,Quantity,Designation,Supplier and ref,,tme,farnell,
1,C16,CP_Elec_10x10.5,1,470u,,,,,
2,"C7,C21,C5,C6,C8,C9,C3,C4,C28,C29",C_0805,10,100n,,x,,,
3,"C10,C11",C_0805,2,NC,,,,,
4,"C13,C17,C18,C12,C20",C_0805,5,22p,,,,,
5,"C15,C23,C25",C_0805,3,1u,,,,,
6,C19,CP_Elec_6.3x7.7,1,220u,,,http://www.tme.eu/cz/details/sc1c227m6l07kvr/elektrolyticke-kondenzatory-smd-85c/samwha/,,
7,"C24,C26",C_0805,2,220n,,,,,
8,C27,C_0805,1,C,,,,,
9,D1,D_SOD-123,1,D_Schottky,,,http://www.tme.eu/cz/details/mbr130t1g/diody-schottky-smd/on-semiconductor/,,
10,"D2,D4,D5",LED_0805,3,LED,,,http://www.tme.eu/cz/katalog/#id_category=113363&search=led+smd&s_field=accuracy&s_order=DESC&visible_params=2%2C1088%2C10%2C754%2C1594%2C35%2C120%2C1101%2C2922%2C1096%2C1089&used_params=35%3A2323%3B120%3A369634%3B,,
11,"J1,J2,J3,J4,J17",Pin_Header_Straight_1x01_Pitch1.00mm,5,CONN_01X01,,,,,
12,J7,Pin_Header_Straight_1x06_Pitch2.54mm,1,CONN_01X06,,,,,
13,J13,BARREL_JACK,1,BARREL_JACK,,,,,
14,"L2,L3",L_0805,2,47n,,,http://www.tme.eu/cz/details/dl0805-0.047/tlumivky-smd-0805/ferrocore/,,
15,"L4,L5",L_0805,2,L,,,,,
16,P1,Antenna_conn,1,SMA_mini,,,,,l
17,R1,R_0805,1,R,,,,,l
18,"R2,R4,R5,R13",R_0805,4,4.7k,,,,,l
19,R3,R_0805,1,5k6,,,,,l
20,R6,R_0805,1,22k,,,,,l
21,SJ16,solder_jumper,1,solder_jumper,,,,,l
22,SW1,SW_DIP_x1_W8.61mm_Slide_LowProfile,1,SW_Push,,,,,l
23,U1,wireless_footprint,1,wireless_patice,,,,,l
24,U6,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,M24C04,,,,,l
25,U7,M10578,1,M10578-A2,,,,,l
26,U11,SR4G008,1,SR4G008,,,,,l
27,Y1,Crystal_C26-LF_d2.1mm_l6.5mm_Vertical,1,32.768kHz,,,http://www.tme.eu/cz/details/26-hx5f-32.768k/krystalove-rezonatory-tht/ilsi/26-hx5f125-32768khz/,,
28,U9,TO-263-5_TabPin3,1,NCP59150,,,,,
29,"R7,R8,R9",R_0805,3,1k,,,,,
30,R11,R_0805,1,0R,,,,,
31,U3,quectel_BC95,1,QUECTEL_BC95,,,,,
32,"J5,J6,J9,J10",MountingHole_3.2mm_M3_DIN965_Pad,4,CONN_01X01,,,,,
33,Q1,SOT-23,1,Q_NPN_BCV71,,,,l,
34,C14,C_0805,1,"2,2u",,,,,
35,D3,D_SOD-123,1,D_Schottky_ss14,,,http://www.tme.eu/cz/details/mbr130t1g/diody-schottky-smd/on-semiconductor/,,
36,"R10,R14",R_0805,2,10k,,,,,
37,R12,R_0805,1,47k,,,,,
38,P2,Antenna_conn_bott,1,SMA_mini,,,,l,
39,"SJ1,SJ15,SJ17,SJ2,SJ3",solder_jumper_bott,5,solder_jumper,,,,,
40,"J8,J12,J14,J15,J16",Pin_Header_Straight_1x01_Pitch2.54mm,5,CONN_01X01,,,,,
41,"C1,C2",C_0805,2,4.3p,,,,,
42,BT1,BAT-CR2032_bottom,1,Battery_Cell,,,http://www.tme.eu/cz/details/bat-cr2032-v-mhf-r/baterie/cr2032mfh-rh/,,
43,U10,BME280,1,bme280_barebone,,,,l,
44,C22,SMD_0805_bottom,1,22p,,,,,
45,J11,nanosim_bottom,1,SIM_Card,,,http://www.tme.eu/cz/details/mx-504520-0691_c/konektory-ke-kartam/molex/5045200691/,,
46,U4,logo,1,logo,,,,,
47,U2,LQFP-64,1,stm32f072,,,http://www.tme.eu/cz/details/stm32f072r8t6/mikroprocesory-st/st-microelectronics/,,
48,U8,DFN-6-1EP_3x3mm_Pitch0.95mm,1,LD39050,,,http://www.tme.eu/cz/details/ld39050pu33r/stabilizatory-napeti-neregulovane-ldo/st-microelectronics/,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,"chybi tady dve ledky, par poitu a smd pointu a dva odpory",,,,,,,
