"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"TQFP-64_10x10mm_Pitch0.5mm";1;"stm32f072";;;
2;"BT1";"BAT-CR2032_bottom";1;"Battery_Cell";;;
3;"C3,C6,C9,C13,C4,C8";"SMD_0805";6;"C";;;
4;"C5,C7,C21,C25";"SMD_0805";4;"100n";;;
5;"C10,C11";"SMD_0805";2;"NC";;;
6;"C14";"SMD_0805";1;"2,2u";;;
7;"C23";"SMD_0805";1;"10u";;;
8;"C24";"SMD_0805";1;"220n";;;
9;"D1";"D_SOD-123";1;"D_Schottky";;;
10;"D2,D4,D7,D8,D9,D10";"SMD_0805";6;"LED";;;
11;"D3";"D_SOD-123";1;"D_Schottky_ss14";;;
12;"J1,J2,J3,J4,J21";"Pin_Header_Straight_1x01_Pitch1.00mm";5;"CONN_01X01";;;
13;"J5,J6";"MountingHole_3.2mm_M3_DIN965";2;"CONN_01X01";;;
14;"J13";"BARREL_JACK";1;"BARREL_JACK";;;
15;"L2,L1";"SMD_0805";2;"L";;;
16;"P1,P2";"Antenna_conn";2;"SMA_mini";;;
17;"R1,R17,R18,R27,R28,R29";"SMD_0805";6;"R";;;
18;"R2,R4,R5";"SMD_0805";3;"4.7k";;;
19;"R3,R26";"SMD_0805";2;"5k6";;;
20;"R6";"SMD_0805";1;"22k";;;
21;"R7,R10,R14";"SMD_0805";3;"10k";;;
22;"R8,R9";"SMD_0805";2;"1k";;;
23;"U3";"quectel_BC95";1;"QUECTEL_BC95";;;
24;"U7";"M10578";1;"M10578-A2";;;
25;"U10";"BME280";1;"bme280_barebone";;;
26;"J11,J17,J18,J19,J20";"Pin_Header_Straight_1x01_Pitch2.54mm";5;"CONN_01X01";;;
27;"SJ16";"solder_jumper";1;"solder_jumper";;;
28;"Y1";"Crystal_SMD_5032-2pin_5.0x3.2mm";1;"8MHz";;;
29;"C1,C2";"SMD_0805";2;"4.3p";;;
30;"C12";"SMD_0805";1;"510pF";;;
31;"C15";"SMD_0805";1;"1u";;;
32;"R12,R19";"SMD_0805";2;"0R33";;;
33;"R13,R20,R21,R24";"SMD_0805";4;"tbd";;;
34;"R15";"SMD_0805";1;"27k";;;
35;"R16";"SMD_0805";1;"9.1k";;;
36;"U1,U6";"SOIC-8_3.9x4.9mm_Pitch1.27mm";2;"MC33063";;;
37;"U5";"SOT-23-5";1;"CAT24C02";;;
38;"Q1";"SOT-23";1;"Q_NMOS_GSD";;;
39;"U4";"nanosimmm";1;"SIM";;;
40;"R11";"SMD_0805";1;"0R";;;
41;"C16";"SMD_0805";1;"352pF";;;
42;"R22";"SMD_0805";1;"18k";;;
43;"R23";"SMD_0805";1;"11k";;;
44;"R25,R30";"SMD_0805";2;"0R1";;;
45;"L3";"Inductor_Taiyo-Yuden_NR-50xx";1;"39uH";;;
46;"L5";"Inductor_Taiyo-Yuden_NR-50xx";1;"41uH";;;
47;"D5,D6";"SOD-123";2;"1N5819";;;
48;"C17,C19";"C_Radial_D10_L16_P5_bottom";2;"1000u";;;
49;"C18";"C_Radial_D6.3_L11.2_P2.5_bottom";1;"470uF";;;
50;"P3";"Pin_Header_Straight_2x12";1;"CONN_02X12";;;
51;"SW2";"DIP-6_W7.62mm";1;"SW_DIP_x03";;;
52;"SW1,SW3";"edge_switch";2;"SW_DPST";;;
53;"U8";"USB_Micro-B";1;"usb_femalee";;;
54;"L4,L6";"SMD_0805";2;"1uH";;;
55;"";"drawing";1;"";;;
