"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P4";"USB_Micro-B";1;"USB_B";;;
2;"U2";"TQFP-64_10x10mm_Pitch0.5mm";1;"stm32f072";;;
3;"BT1";"BAT-CR2032_bottom";1;"Battery_Cell";;;
4;"C3,C6,C9,C13,C4,C8";"SMD_0805";6;"C";;;
5;"C5,C7,C21,C25";"SMD_0805";4;"100n";;;
6;"C10,C11";"SMD_0805";2;"NC";;;
7;"C14";"SMD_0805";1;"2,2u";;;
8;"C23";"SMD_0805";1;"10u";;;
9;"C24";"SMD_0805";1;"220n";;;
10;"D1";"D_SOD-123";1;"D_Schottky";;;
11;"D2,D4,D7,D8,D9,D10";"SMD_0805";6;"LED";;;
12;"D3";"D_SOD-123";1;"D_Schottky_ss14";;;
13;"J1,J2,J3,J4,J21";"Pin_Header_Straight_1x01_Pitch1.00mm";5;"CONN_01X01";;;
14;"J5,J6";"MountingHole_3.2mm_M3_DIN965";2;"CONN_01X01";;;
15;"J13";"BARREL_JACK";1;"BARREL_JACK";;;
16;"L2,L1";"SMD_0805";2;"L";;;
17;"P1,P2";"Antenna_conn";2;"SMA_mini";;;
18;"R1,R17,R18,R27,R28,R29";"SMD_0805";6;"R";;;
19;"R2,R4,R5";"SMD_0805";3;"4.7k";;;
20;"R3,R26";"SMD_0805";2;"5k6";;;
21;"R6";"SMD_0805";1;"22k";;;
22;"R7,R10,R14";"SMD_0805";3;"10k";;;
23;"R8,R9";"SMD_0805";2;"1k";;;
24;"U3";"quectel_BC95";1;"QUECTEL_BC95";;;
25;"U7";"M10578";1;"M10578-A2";;;
26;"U10";"BME280";1;"bme280_barebone";;;
27;"J11,J17,J18,J19,J20";"Pin_Header_Straight_1x01_Pitch2.54mm";5;"CONN_01X01";;;
28;"SJ16";"solder_jumper";1;"solder_jumper";;;
29;"Y1";"Crystal_SMD_5032-2pin_5.0x3.2mm";1;"8MHz";;;
30;"C1,C2";"SMD_0805";2;"4.3p";;;
31;"C12";"SMD_0805";1;"510pF";;;
32;"C15";"SMD_0805";1;"1u";;;
33;"R12,R19";"SMD_0805";2;"0R33";;;
34;"R13,R20,R21,R24";"SMD_0805";4;"tbd";;;
35;"R15";"SMD_0805";1;"27k";;;
36;"R16";"SMD_0805";1;"9.1k";;;
37;"U1,U6";"SOIC-8_3.9x4.9mm_Pitch1.27mm";2;"MC33063";;;
38;"U5";"SOT-23-5";1;"CAT24C02";;;
39;"Q1";"SOT-23";1;"Q_NMOS_GSD";;;
40;"U4";"nanosimmm";1;"SIM";;;
41;"R11";"SMD_0805";1;"0R";;;
42;"C16";"SMD_0805";1;"352pF";;;
43;"R22";"SMD_0805";1;"18k";;;
44;"R23";"SMD_0805";1;"11k";;;
45;"R25,R30";"SMD_0805";2;"0R1";;;
46;"L3";"Inductor_Taiyo-Yuden_NR-50xx";1;"39uH";;;
47;"L4,L6";"SMD_0805";2;"1uH";;;
48;"L5";"Inductor_Taiyo-Yuden_NR-50xx";1;"41uH";;;
49;"D5,D6";"SOD-123";2;"1N5819";;;
50;"C17,C19";"C_Radial_D10_L16_P5_bottom";2;"1000u";;;
51;"C18";"C_Radial_D6.3_L11.2_P2.5_bottom";1;"470uF";;;
52;"P3";"Pin_Header_Straight_2x12";1;"CONN_02X12";;;
53;"SW2";"DIP-6_W7.62mm";1;"SW_DIP_x03";;;
54;"SW1,SW3";"edge_switch";2;"SW_DPST";;;
55;"";"drawing";1;"";;;
