"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C30,C31,C2";"SMD_C_0805_bottom";4;"4.3p";;;
2;"C7,C21,C5,C6,C8,C9,C3,C28,C29";"C_0805";9;"100n";;;
3;"C10,C11";"C_0805";2;"NC";;;
4;"C13,C17,C18,C12,C20";"C_0805";5;"22p";;;
5;"C15,C23,C25";"C_0805";3;"1u";;;
6;"C19";"CP_Elec_6.3x7.7";1;"220u";;;
7;"C24,C26";"C_0805";2;"220n";;;
8;"C27";"C_0805";1;"C";;;
9;"D1";"D_SOD-123";1;"D_Schottky";;;
10;"D2,D4,D5,D6,D7";"LED_0805";5;"LED";;;
11;"J1,J2,J3,J4,J17";"Pin_Header_Straight_1x01_Pitch1.00mm";5;"CONN_01X01";;;
12;"J7";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"CONN_01X06";;;
13;"J13";"BARREL_JACK";1;"BARREL_JACK";;;
14;"L2,L3";"L_0805";2;"47n";;;
15;"L4,L5";"L_0805";2;"L";;;
16;"P1";"Antenna_conn";1;"SMA_mini";;;
17;"R1";"R_0805";1;"R";;;
18;"R2,R4,R5,R13";"R_0805";4;"4.7k";;;
19;"R3";"R_0805";1;"5k6";;;
20;"R6";"R_0805";1;"22k";;;
21;"SJ16";"solder_jumper";1;"solder_jumper";;;
22;"SW1";"SW_DIP_x1_W8.61mm_Slide_LowProfile";1;"SW_Push";;;
23;"U1";"wireless_footprint";1;"wireless_patice";;;
24;"U6";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"M24C04";;;
25;"U7";"M10578";1;"M10578-A2";;;
26;"U11";"SR4G008";1;"SR4G008";;;
27;"Y1";"Crystal_C26-LF_d2.1mm_l6.5mm_Vertical";1;"32.768kHz";;;
28;"U9";"TO-263-5_TabPin3";1;"NCP59150";;;
29;"R7,R8,R9,R15,R16";"R_0805";5;"1k";;;
30;"R11";"R_0805";1;"0R";;;
31;"U3";"quectel_BC95";1;"QUECTEL_BC95";;;
32;"J5,J6,J9,J10";"MountingHole_3.2mm_M3_DIN965_Pad";4;"CONN_01X01";;;
33;"Q1";"SOT-23";1;"Q_NPN_BCV71";;;
34;"C14";"C_0805";1;"2,2u";;;
35;"D3";"D_SOD-123";1;"D_Schottky_ss14";;;
36;"R10,R14";"R_0805";2;"10k";;;
37;"R12";"R_0805";1;"47k";;;
38;"P2";"Antenna_conn_bott";1;"SMA_mini";;;
39;"SJ1,SJ15,SJ17,SJ2,SJ3";"solder_jumper_bott";5;"solder_jumper";;;
40;"J8,J12,J14,J15,J16,J23,J24,J25,J26,J28";"Pin_Header_Straight_1x01_Pitch2.54mm";10;"CONN_01X01";;;
41;"BT1";"BAT-CR2032_bottom";1;"Battery_Cell";;;
42;"U10";"BME280";1;"bme280_barebone";;;
43;"C22";"SMD_0805_bottom";1;"22p";;;
44;"U4";"logo";1;"logo";;;
45;"J18,J19,J20,J21,J22,J27";"smd_point_bottom";6;"CONN_01X01";;;
46;"U8";"DFN-6-1EP_3x3mm_Pitch0.95mm";1;"LD39050";;;
47;"C4";"SMD_0805_bottom";1;"100n";;;
48;"U2";"LQFP-64_10x10mm_Pitch0.5mm";1;"stm32f072";;;
49;"Y2";"Crystal_SMD_HC49-SD";1;"8MHz";;;
50;"U5";"nanosim_bottom";1;"SIM";;;
51;"C16";"CP_Elec_6.3x7.7";1;"470u";;;
